num_threads=1,,,,,,,,,,,,,,,,,,
8th run,0.001680516,0.000005208,0.001685724,0.001991236,0.001201293,0.003192529,0.004505500,0.000685154,0.005190654,0.000599008,0.009113092,0.009712100,0.002124889,0.091333496,0.093458385,0.011648581,0.823047572,0.834696153
9th run,0.001034268,0.001055465,0.002089733,0.003002792,0.001392595,0.004395387,0.000425415,0.000706143,0.001131558,0.001905775,0.008870436,0.010776211,0.001033122,0.062714009,0.063747131,0.011055871,0.810575898,0.821631769
10th run,0.000548748,0.000008750,0.000557498,0.000907129,0.000051354,0.000958483,0.000506664,0.000738643,0.001245307,0.002067493,0.008175283,0.010242776,0.001417704,0.090515480,0.091933184,0.011680140,0.815977918,0.827658058
Average,0.001540917,0.000448900,0.001989817,0.0016251425,0.000303128,0.001928271,0.001536242,0.000807439,0.002343681,0.001583484,0.008143453,0.009726946,0.002004774,0.083229300,0.085234074,0.011054514,0.821436124,0.832490638
,,,,,,,,,,,,,,,,,,
num_threads=4,,,,,,,,,,,,,,,,,,
upper_bound=10^k,"num_threads=4, upper_bound=10,  num_prime=4, unnecessary crossing out:2 or 3",,,"num_threads=4, upper_bound=100, num_prime=25, unnecessary crossing out:96 or 72 or 111",,,"num_threads=4, upper_bound=1000, num_prime=168, unnecessary crossing out:1127 or 1376 or 1541",,,"num_threads=4, upper_bound=10000, num_prime=1229, unnecessary crossing out:16800 or 18465",,,"num_threads=4, upper_bound=100000, num_prime=9592, unnecessary crossing out:166401 or 208065 or 191400",,,"num_threads=4, upper_bound=1000000, num_prime=78498, unnecessary crossing out:2103708 or 2270373",,
(seconds),Initialization,Critical section,Total time,Initialization,Critical section,Total time,Initialization,Critical section,Total time,Initialization,Critical section,Total time,Initialization,Critical section,Total time,Initialization,Critical section,Total time
1st run,0.005407952,0.000005312,0.005413264,0.008029049,0.001882757,0.009911806,0.007297891,0.000522914,0.007820805,0.008647143,0.004407113,0.013054256,0.007068407,0.050140983,0.057209390,0.011394797,0.714553955,0.725948752
2nd run,0.006231126,0.001023122,0.007254248,0.007526298,0.001001660,0.008527958,0.006996694,0.000928382,0.007925076,0.007185538,0.004742685,0.011928223,0.008938660,0.056824655,0.065763315,0.013597444,0.712393498,0.725990942
3rd run,0.004499937,0.000004115,0.004504052,0.006822414,0.001103953,0.007926367,0.005399616,0.001171871,0.006571487,0.005909190,0.004713675,0.010622865,0.007504812,0.050945774,0.058450586,0.011180474,0.709904239,0.721084713
4th run,0.012409411,0.009872913,0.022282324,0.021160330,0.001057756,0.022218086,0.011226563,0.009923137,0.021149700,0.009501882,0.004555291,0.014057173,0.007078877,0.056513095,0.063591972,0.011236881,0.693131184,0.704368065
5th run,0.006912982,0.000976795,0.007889777,0.004592169,0.000763069,0.005355238,0.003938769,0.000794681,0.004733450,0.009370530,0.004282324,0.013652854,0.008233351,0.045634756,0.053868107,0.011192089,0.717398637,0.728590726
6th run,0.007621354,0.000005052,0.007626406,0.007573148,0.000033958,0.007607106,0.007458798,0.000406767,0.007865565,0.007388665,0.004516073,0.011904738,0.006394817,0.055019926,0.061414743,0.011461255,0.720913206,0.732374461
7th run,0.007474465,0.000004270,0.007478735,0.004980346,0.000752705,0.005733051,0.004996215,0.000780255,0.005776470,0.007366999,0.004806332,0.12173331,0.006871117,0.054975343,0.061846460,0.011800420,0.718112228,0.729912648
8th run,0.007302685,0.000004739,0.007307424,0.007660180,0.000037865,0.007698045,0.015968647,0.009896134,0.025864781,0.007587467,0.004899874,0.012487341,0.007118876,0.054881125,0.062000001,0.011773494,0.712143921,0.723917414
9th run,0.006103010,0.001105675,0.007208685,0.006530706,0.001014475,0.007545181,0.007131414,0.000889683,0.008021097,0.009110846,0.004634406,0.013745252,0.015925923,0.055655601,0.071581524,0.012848072,0.737640637,0.750488709
